gene	type	organ
AUTS2	Confirmed DD Gene	Brain/Cognition
GBA2	Confirmed DD Gene	Brain/Cognition
ALDH1A3	Confirmed DD Gene	Eye
ALDH1A3	Confirmed DD Gene	Brain/Cognition
STIM1	Possible DD Gene	Musculature
SLC24A4	Probable DD gene	Teeth & Dentitian
ABCB11	Confirmed DD Gene	GI tract
AASS	Probable DD gene	Brain/Cognition
AASS	Probable DD gene	Endocrine/Metabolic
ACADM	Confirmed DD Gene	Endocrine/Metabolic
ACADM	Confirmed DD Gene	Brain/Cognition
ACADS	Both DD and IF	Endocrine/Metabolic
ACADVL	Confirmed DD Gene	Endocrine/Metabolic
ACAT1	Confirmed DD Gene	Endocrine/Metabolic
ACVRL1	Child IF	Heart/Cardiovasculature/Lymphatic
ADA	Confirmed DD Gene	Bone Marrow/Immune 
AGL	Confirmed DD Gene	Endocrine/Metabolic
AGXT	Both DD and IF	Endocrine/Metabolic
AGXT	Both DD and IF	Kidney Renal Tract
AIRE	Both DD and IF	Endocrine/Metabolic
ALAD	Both DD and IF	Endocrine/Metabolic
ALDH7A1	Confirmed DD Gene	Brain/Cognition
ALDOA	Confirmed DD Gene	Musculature
ALDOA	Confirmed DD Gene	Endocrine/Metabolic
ALDOB	Both DD and IF	Endocrine/Metabolic
APRT	Child IF	Endocrine/Metabolic
ARSA	Confirmed DD Gene	Brain/Cognition
ARSA	Confirmed DD Gene	Endocrine/Metabolic
ASL	Confirmed DD Gene	Endocrine/Metabolic
ASPA	Confirmed DD Gene	Brain/Cognition
ASPA	Confirmed DD Gene	Endocrine/Metabolic
ASPA	Confirmed DD Gene	Eye
ASS1	Confirmed DD Gene	Endocrine/Metabolic
ATP8B1	Confirmed DD Gene	Endocrine/Metabolic
ATP8B1	Confirmed DD Gene	GI tract
BIN1	Confirmed DD Gene	Musculature
CD40LG	Child IF	Bone Marrow/Immune 
CFP	Child IF	Bone Marrow/Immune 
CLCN7	Confirmed DD Gene	Skeleton
CSTB	Confirmed DD Gene	Brain/Cognition
CTSK	Confirmed DD Gene	Skeleton
CYP17A1	Child IF	Endocrine/Metabolic
CYP21A2	Child IF	Endocrine/Metabolic
PARK2	Child IF	Brain/Cognition
C5orf42	Confirmed DD Gene	Brain/Cognition
ZFP57	Confirmed DD Gene	Endocrine/Metabolic
UROS	Confirmed DD Gene	Skin
UBIAD1	Child IF	Eye
TYRP1	Confirmed DD Gene	Eye
TYRP1	Confirmed DD Gene	Skin
TYR	Confirmed DD Gene	Eye
TYR	Confirmed DD Gene	Skin
TTPA	Child IF	Brain/Cognition
TOR1A	Child IF	Brain/Cognition
SUMF1	Confirmed DD Gene	Brain/Cognition
SUMF1	Confirmed DD Gene	Endocrine/Metabolic
STAR	Confirmed DD Gene	Genitalia
SPR	Possible DD Gene	Brain/Cognition
SMARCAL1	Confirmed DD Gene	Skeleton
SLC7A9	Child IF	Kidney Renal Tract
SLC6A19	Child IF	Endocrine/Metabolic
EMX2	Possible DD Gene	Brain/Cognition
SLC3A1	Child IF	Kidney Renal Tract
SLC25A20	Confirmed DD Gene	Brain/Cognition
SLC25A20	Confirmed DD Gene	Endocrine/Metabolic
SLC22A5	Confirmed DD Gene	Brain/Cognition
SLC22A5	Confirmed DD Gene	Endocrine/Metabolic
SLC5A5	Confirmed DD Gene	Endocrine/Metabolic
QDPR	Confirmed DD Gene	Endocrine/Metabolic
QDPR	Confirmed DD Gene	Brain/Cognition
PYGM	Child IF	Musculature
PYGL	Confirmed DD Gene	GI tract
PTS	Confirmed DD Gene	Brain/Cognition
PTS	Confirmed DD Gene	Endocrine/Metabolic
PROP1	Confirmed DD Gene	Endocrine/Metabolic
POU1F1	Confirmed DD Gene	Endocrine/Metabolic
PNP	Child IF	Bone Marrow/Immune 
PLOD1	Confirmed DD Gene	Skin
PLOD1	Confirmed DD Gene	Skeleton
PLAGL1	Child IF	Endocrine/Metabolic
PKLR	Child IF	Bone Marrow/Immune 
PKLR	Child IF	Endocrine/Metabolic
PKHD1	Confirmed DD Gene	Kidney Renal Tract
PGAM2	Child IF	Musculature
PGAM2	Child IF	Kidney Renal Tract
PFKM	Child IF	Musculature
MVK	Child IF	Bone Marrow/Immune 
MCOLN1	Confirmed DD Gene	Endocrine/Metabolic
MCOLN1	Confirmed DD Gene	Brain/Cognition
MCOLN1	Confirmed DD Gene	Eye
MCOLN1	Confirmed DD Gene	GI tract
MC2R	Confirmed DD Gene	Endocrine/Metabolic
LRPPRC	Confirmed DD Gene	Brain/Cognition
LRPPRC	Confirmed DD Gene	Endocrine/Metabolic
LDHA	Not DD Gene	Musculature
LDHA	Not DD Gene	Kidney Renal Tract
LAMA2	Confirmed DD Gene	Brain/Cognition
LAMA2	Confirmed DD Gene	Musculature
KRT2	Child IF	Skin
KRT14	Child IF	Skin
JAK3	Confirmed DD Gene	Bone Marrow/Immune 
IVD	Confirmed DD Gene	Brain/Cognition
IVD	Confirmed DD Gene	Endocrine/Metabolic
ITGA7	Confirmed DD Gene	Musculature
IL2RG	Child IF	Bone Marrow/Immune 
DECR1	Possible DD Gene	Brain/Cognition
DECR1	Possible DD Gene	Endocrine/Metabolic
ETHE1	Confirmed DD Gene	Brain/Cognition
ETHE1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ETHE1	Confirmed DD Gene	Endocrine/Metabolic
FBP1	Confirmed DD Gene	Endocrine/Metabolic
FOXN1	Confirmed DD Gene	Hair/Nails
FOXN1	Confirmed DD Gene	Bone Marrow/Immune 
FOXP2	Probable DD gene	Brain/Cognition
FOXP3	Confirmed DD Gene	Brain/Cognition
FOXP3	Confirmed DD Gene	Bone Marrow/Immune 
FOXP3	Confirmed DD Gene	Endocrine/Metabolic
GAA	Confirmed DD Gene	Endocrine/Metabolic
GAA	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
GALC	Confirmed DD Gene	Brain/Cognition
GCDH	Confirmed DD Gene	Brain/Cognition
GCDH	Confirmed DD Gene	Endocrine/Metabolic
GHR	Confirmed DD Gene	Endocrine/Metabolic
GSS	Child IF	Endocrine/Metabolic
HLCS	Confirmed DD Gene	Endocrine/Metabolic
HMGCL	Confirmed DD Gene	Brain/Cognition
HMGCL	Confirmed DD Gene	Endocrine/Metabolic
HPS1	Confirmed DD Gene	Skin
HPS1	Confirmed DD Gene	Bone Marrow/Immune 
HR	Confirmed DD Gene	Skin
HR	Confirmed DD Gene	Hair/Nails
IGHMBP2	Confirmed DD Gene	Musculature
IGHMBP2	Confirmed DD Gene	Respiratory tract
IKBKAP	Child IF	Spinal cord/Peripheral nerves
B3GALNT2	Probable DD gene	Brain/Cognition
B3GALNT2	Probable DD gene	Musculature
B3GALNT2	Probable DD gene	Eye
NAA10	Probable DD gene	Brain/Cognition
NAA10	Probable DD gene	Face
NAA10	Probable DD gene	Heart/Cardiovasculature/Lymphatic
TMCO1	Possible DD Gene	Face
PTH	Probable DD gene	Skeleton
ROBO3	Confirmed DD Gene	Skeleton
ROBO3	Confirmed DD Gene	Eye
NPHS1	Confirmed DD Gene	Kidney Renal Tract
NPHS2	Confirmed DD Gene	Kidney Renal Tract
COQ2	Confirmed DD Gene	Endocrine/Metabolic
COQ9	Confirmed DD Gene	Endocrine/Metabolic
FOLR1	Confirmed DD Gene	Brain/Cognition
FOLR1	Confirmed DD Gene	Endocrine/Metabolic
TH	Confirmed DD Gene	Brain/Cognition
APTX	Confirmed DD Gene	Spinal cord/Peripheral nerves
APTX	Confirmed DD Gene	Eye
APTX	Confirmed DD Gene	Brain/Cognition
DLAT	Confirmed DD Gene	Endocrine/Metabolic
GCSH	Possible DD Gene	Brain/Cognition
GCSH	Possible DD Gene	Endocrine/Metabolic
GLDC	Confirmed DD Gene	Brain/Cognition
GLDC	Confirmed DD Gene	Endocrine/Metabolic
GLUD1	Confirmed DD Gene	Endocrine/Metabolic
HMGCS2	Confirmed DD Gene	Endocrine/Metabolic
NAGS	Confirmed DD Gene	Endocrine/Metabolic
PDHX	Confirmed DD Gene	Endocrine/Metabolic
PDSS1	Probable DD gene	Brain/Cognition
PDSS1	Probable DD gene	Endocrine/Metabolic
PDSS1	Probable DD gene	Heart/Cardiovasculature/Lymphatic
PDSS2	Confirmed DD Gene	Brain/Cognition
PDSS2	Confirmed DD Gene	Kidney Renal Tract
SLC19A3	Confirmed DD Gene	Brain/Cognition
SLC19A3	Confirmed DD Gene	Endocrine/Metabolic
SLC25A13	Not DD Gene	Endocrine/Metabolic
SCN4A	Confirmed DD Gene	Musculature
DRC1	Probable DD gene	Respiratory tract
TCF12	Confirmed DD Gene	Skeleton
TCF12	Confirmed DD Gene	Face
ERF	Confirmed DD Gene	Skeleton
ERF	Confirmed DD Gene	Face
WNT1	Confirmed DD Gene	Skeleton
PGAP2	Confirmed DD Gene	Brain/Cognition
PGAP2	Confirmed DD Gene	Skeleton
EOGT	Confirmed DD Gene	Skin
EOGT	Confirmed DD Gene	Skeleton
LARS2	Probable DD gene	Ear
LARS2	Probable DD gene	Genitalia
KCTD1	Confirmed DD Gene	Skin
KCTD1	Confirmed DD Gene	Eye
SLC35A2	Confirmed DD Gene	Brain/Cognition
SLC35A2	Confirmed DD Gene	Endocrine/Metabolic
PTCHD1	Confirmed DD Gene	Brain/Cognition
PTF1A	Probable DD gene	Brain/Cognition
PTF1A	Probable DD gene	Endocrine/Metabolic
RYR2	Child IF	Heart/Cardiovasculature/Lymphatic
ITPR1	Probable DD gene	Brain/Cognition
CEP63	Probable DD gene	Brain/Cognition
CEP63	Probable DD gene	Endocrine/Metabolic
CEP63	Probable DD gene	Skeleton
MYO1A	Possible DD Gene	Ear
DGKE	Child IF	Kidney Renal Tract
DEPDC5	Confirmed DD Gene	Brain/Cognition
STAMBP	Confirmed DD Gene	Brain/Cognition
STAMBP	Confirmed DD Gene	Skin
STAMBP	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ZC4H2	Confirmed DD Gene	Skeleton
ZC4H2	Confirmed DD Gene	Musculature
NLGN3	Probable DD gene	Brain/Cognition
ARHGEF9	Possible DD Gene	Brain/Cognition
ARFGEF2	Probable DD gene	Brain/Cognition
TUBB4A	Confirmed DD Gene	Brain/Cognition
FIG4	Probable DD gene	Brain/Cognition
FIG4	Probable DD gene	Spinal cord/Peripheral nerves
FIG4	Probable DD gene	Skeleton
DARS2	Both DD and IF	Brain/Cognition
DARS2	Both DD and IF	Endocrine/Metabolic
DARS	Confirmed DD Gene	Brain/Cognition
ANTXR1	Confirmed DD Gene	Teeth & Dentitian
ANTXR1	Confirmed DD Gene	Skin
ANTXR1	Confirmed DD Gene	Endocrine/Metabolic
ERCC1	Confirmed DD Gene	Brain/Cognition
ERCC1	Confirmed DD Gene	Endocrine/Metabolic
ERCC1	Confirmed DD Gene	Eye
ERCC1	Confirmed DD Gene	Bone Marrow/Immune 
SCO2	Confirmed DD Gene	Brain/Cognition
SCO2	Confirmed DD Gene	Endocrine/Metabolic
SDHA	Confirmed DD Gene	Brain/Cognition
SDHA	Confirmed DD Gene	Endocrine/Metabolic
SDHA	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
NDUFV1	Confirmed DD Gene	Brain/Cognition
NDUFV1	Confirmed DD Gene	Endocrine/Metabolic
NDUFS8	Confirmed DD Gene	Brain/Cognition
NDUFS8	Confirmed DD Gene	Endocrine/Metabolic
NDUFS7	Confirmed DD Gene	Brain/Cognition
NDUFS4	Confirmed DD Gene	Brain/Cognition
NDUFS4	Confirmed DD Gene	Endocrine/Metabolic
NDUFS7	Confirmed DD Gene	Endocrine/Metabolic
NDUFS1	Confirmed DD Gene	Brain/Cognition
NDUFS1	Confirmed DD Gene	Endocrine/Metabolic
NDUFAF2	Probable DD gene	Brain/Cognition
NDUFAF2	Probable DD gene	Endocrine/Metabolic
NDUFA1	Confirmed DD Gene	Brain/Cognition
NDUFA1	Confirmed DD Gene	Endocrine/Metabolic
PRKAR1A	Confirmed DD Gene	Skeleton
PRKAR1A	Confirmed DD Gene	Endocrine/Metabolic
PDE4D	Confirmed DD Gene	Face
EML1		Brain/Cognition
KIF4A		Brain/Cognition
KIF5C	Probable DD gene	Brain/Cognition
KIF2A	Probable DD gene	Brain/Cognition
PIGN	Possible DD Gene	Brain/Cognition
SIX5	Confirmed DD Gene	Skin
SIX5	Confirmed DD Gene	Face
SIX5	Confirmed DD Gene	Eye
TFAP2A	Confirmed DD Gene	Eye
TFAP2A	Confirmed DD Gene	Face
TFAP2A	Confirmed DD Gene	Skin
NDNL2	Possible DD Gene	Respiratory tract
SPRTN	Possible DD Gene	Cancer predisposition
SPRTN	Possible DD Gene	Bone Marrow/Immune 
HDAC8	Confirmed DD Gene	Brain/Cognition
HDAC8	Confirmed DD Gene	Skeleton
VEGFC	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
ALPL	Confirmed DD Gene	Skeleton
CHST14	Confirmed DD Gene	Eye
CHST14	Confirmed DD Gene	Skin
PSAT1	Probable DD gene	Brain/Cognition
POFUT1	Not DD Gene	Skin
B3GALT6	Confirmed DD Gene	Skeleton
B3GALT6	Confirmed DD Gene	Skin
BICD2	Confirmed DD Gene	Spinal cord/Peripheral nerves
FAM111A	Confirmed DD Gene	Skeleton
FAM111A	Confirmed DD Gene	Endocrine/Metabolic
FAM111A	Confirmed DD Gene	Brain/Cognition
PDGFRB	Confirmed DD Gene	Musculature
PDGFRB	Confirmed DD Gene	Skin
PDGFRB	Confirmed DD Gene	Skeleton
PCCA	Confirmed DD Gene	Endocrine/Metabolic
PCCA	Confirmed DD Gene	Brain/Cognition
PCCB	Confirmed DD Gene	Endocrine/Metabolic
PCCB	Confirmed DD Gene	Brain/Cognition
MCCC1	Confirmed DD Gene	Endocrine/Metabolic
MCCC1	Confirmed DD Gene	Brain/Cognition
PCBD1	Confirmed DD Gene	Endocrine/Metabolic
PCBD1	Confirmed DD Gene	Brain/Cognition
NPC1	Confirmed DD Gene	Brain/Cognition
NPC1	Confirmed DD Gene	Endocrine/Metabolic
NPC2	Confirmed DD Gene	Brain/Cognition
NPC2	Confirmed DD Gene	Endocrine/Metabolic
NT5C3A	Confirmed DD Gene	Bone Marrow/Immune 
PHGDH	Confirmed DD Gene	Brain/Cognition
PHGDH	Confirmed DD Gene	Endocrine/Metabolic
PSPH	Probable DD gene	Brain/Cognition
PSPH	Probable DD gene	Endocrine/Metabolic
AMT	Confirmed DD Gene	Brain/Cognition
AMT	Confirmed DD Gene	Endocrine/Metabolic
MCCC2	Confirmed DD Gene	Brain/Cognition
MCCC2	Confirmed DD Gene	Endocrine/Metabolic
MTRR	Confirmed DD Gene	Bone Marrow/Immune 
MTRR	Confirmed DD Gene	Endocrine/Metabolic
MTRR	Confirmed DD Gene	Brain/Cognition
ABCB7	Confirmed DD Gene	Bone Marrow/Immune 
ABCB7	Confirmed DD Gene	Brain/Cognition
FOXE1	Confirmed DD Gene	Face
CRX	Confirmed DD Gene	Eye
HADH	Confirmed DD Gene	Brain/Cognition
HADH	Confirmed DD Gene	Endocrine/Metabolic
MFSD8	Confirmed DD Gene	Brain/Cognition
MFSD8	Confirmed DD Gene	Eye
RMRP	Confirmed DD Gene	Skeleton
ITGA6	Possible DD Gene	Skin
ITGA6	Possible DD Gene	GI tract
LRAT	Probable DD gene	Eye
LRAT	Probable DD gene	Brain/Cognition
RPE65	Confirmed DD Gene	Eye
TAZ	Confirmed DD Gene	Brain/Cognition
TAZ	Confirmed DD Gene	Endocrine/Metabolic
TAZ	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ZMPSTE24	Confirmed DD Gene	Skin
ZMPSTE24	Confirmed DD Gene	Face
CHD2	Confirmed DD Gene	Brain/Cognition
LAMC3	Confirmed DD Gene	Brain/Cognition
SCN1B	Confirmed DD Gene	Brain/Cognition
SCN1B	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
SLC27A4	Confirmed DD Gene	Skin
SLC27A4	Confirmed DD Gene	Respiratory tract
KCNJ11	Confirmed DD Gene	Brain/Cognition
KCNJ11	Confirmed DD Gene	Endocrine/Metabolic
NKX2-1	Confirmed DD Gene	Endocrine/Metabolic
NKX2-1	Confirmed DD Gene	Brain/Cognition
NKX2-1	Confirmed DD Gene	Respiratory tract
GFM1	Confirmed DD Gene	Endocrine/Metabolic
GFM1	Confirmed DD Gene	Brain/Cognition
DGAT1	Possible DD Gene	GI tract
TTC7A	Confirmed DD Gene	GI tract
TTC7A	Confirmed DD Gene	Bone Marrow/Immune 
POLD1	Confirmed DD Gene	Ear
POLD1	Confirmed DD Gene	Skin
POLD1	Confirmed DD Gene	Genitalia
MIR17HG	Probable DD gene	Brain/Cognition
MIR17HG	Probable DD gene	Skeleton
DSTYK	Confirmed DD Gene	Kidney Renal Tract
GABRB3	Confirmed DD Gene	Brain/Cognition
ALG13	Probable DD gene	Brain/Cognition
CACNA1A	Possible DD Gene	Brain/Cognition
GABRA1	Probable DD gene	Brain/Cognition
GRIN1	Possible DD Gene	Brain/Cognition
HNRNPU	Possible DD Gene	Brain/Cognition
NEDD4L	Possible DD Gene	Brain/Cognition
AMPD2	Confirmed DD Gene	Brain/Cognition
CTNNB1	Confirmed DD Gene	Brain/Cognition
MTF1	Possible DD Gene	Brain/Cognition
ZMYM6	Possible DD Gene	Brain/Cognition
MYT1L	Possible DD Gene	Brain/Cognition
PHIP	Possible DD Gene	Brain/Cognition
WAC	Possible DD Gene	Brain/Cognition
ASH1L	Possible DD Gene	Brain/Cognition
CAMTA1	Probable DD gene	Brain/Cognition
WNT4	Probable DD gene	Brain/Cognition
MTMR14	Possible DD Gene	Musculature
CACNA1A	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
CACNA1C	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
CACNA1C	Confirmed DD Gene	Skeleton
PLOD2	Confirmed DD Gene	Skeleton
PLOD3	Possible DD Gene	Face
PLOD3	Possible DD Gene	Skin
PLOD3	Possible DD Gene	Skeleton
PLOD3	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
OTOF	Confirmed DD Gene	Ear
TBXAS1	Confirmed DD Gene	Bone Marrow/Immune 
MYO7A	Both DD and IF	Ear
MYO7A	Both DD and IF	Eye
NLRP3	Child IF	Skin
NLRP3	Child IF	Kidney Renal Tract
OPA1	Child IF	Eye
OPA1	Child IF	Brain/Cognition
OPA1	Child IF	Spinal cord/Peripheral nerves
OTOA	Possible DD Gene	Ear
PDZD7		Eye
PDZD7		Ear
BCAP31	Confirmed DD Gene	Brain/Cognition
BCAP31	Confirmed DD Gene	Ear
RSPH1	Confirmed DD Gene	Respiratory tract
DDX59	Probable DD gene	GI tract
DDX59	Probable DD gene	Skeleton
DDX59	Probable DD gene	Face
SZT2	Probable DD gene	Brain/Cognition
WDR60	Confirmed DD Gene	Skeleton
WDR60	Confirmed DD Gene	Brain/Cognition
GNAO1	Confirmed DD Gene	Brain/Cognition
FBXL4	Confirmed DD Gene	Brain/Cognition
FBXL4	Confirmed DD Gene	Endocrine/Metabolic
VIP	Possible DD Gene	Brain/Cognition
CAPRIN1	Possible DD Gene	Brain/Cognition
DSG1	Probable DD gene	Skin
DSG1	Probable DD gene	Endocrine/Metabolic
DSG1	Probable DD gene	Bone Marrow/Immune 
KLHL40	Confirmed DD Gene	Musculature
GMPPB	Confirmed DD Gene	Musculature
RAB28	Child IF	Eye
B4GALNT1	Child IF	Spinal cord/Peripheral nerves
CTCF	Confirmed DD Gene	Brain/Cognition
KARS	Both DD and IF	Ear
KARS	Both DD and IF	Spinal cord/Peripheral nerves
PIK3R1	Confirmed DD Gene	Skeleton
PIK3R1	Confirmed DD Gene	Endocrine/Metabolic
PIK3R1	Confirmed DD Gene	Eye
RIT1	Confirmed DD Gene	Skeleton
RIT1	Confirmed DD Gene	Face
TRAPPC11	Probable DD gene	Brain/Cognition
TRAPPC11	Probable DD gene	Musculature
TM4SF20	Possible DD Gene	Brain/Cognition
ELAC2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ELAC2	Confirmed DD Gene	Endocrine/Metabolic
ELAC2	Confirmed DD Gene	Brain/Cognition
LRPAP1	Possible DD Gene	Eye
ARL2BP	Child IF	Eye
AQP5	Child IF	Skin
ZMYND10	Probable DD gene	Respiratory tract
ARMC4	Confirmed DD Gene	Respiratory tract
CYC1	Confirmed DD Gene	Endocrine/Metabolic
CYC1	Confirmed DD Gene	Brain/Cognition
RARB	Confirmed DD Gene	Eye
RARB	Confirmed DD Gene	Respiratory tract
RARB	Confirmed DD Gene	Brain/Cognition
GMPPA	Confirmed DD Gene	Brain/Cognition
GMPPA	Confirmed DD Gene	Endocrine/Metabolic
NALCN	Confirmed DD Gene	Brain/Cognition
SPAG1	Confirmed DD Gene	Respiratory tract
C21orf59	Probable DD gene	Respiratory tract
CCDC65	Confirmed DD Gene	Respiratory tract
DYX1C1	Confirmed DD Gene	Respiratory tract
SMAD2	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
NAA15	Probable DD gene	Heart/Cardiovasculature/Lymphatic
PLS3	Child IF	Skeleton
TECTA	Confirmed DD Gene	Ear
DCHS1	Confirmed DD Gene	Brain/Cognition
FAT4	Confirmed DD Gene	Brain/Cognition
SCN11A	Confirmed DD Gene	Spinal cord/Peripheral nerves
MAGEL2	Confirmed DD Gene	Brain/Cognition
C6orf70	Possible DD Gene	Brain/Cognition
BRCA1	Probable DD gene	Brain/Cognition
QKI	Possible DD Gene	Brain/Cognition
CYB5R3	Probable DD gene	Brain/Cognition
CYB5R3	Probable DD gene	Bone Marrow/Immune 
CYB5R3	Probable DD gene	Endocrine/Metabolic
MCEE	Confirmed DD Gene	Brain/Cognition
MMAA	Confirmed DD Gene	Endocrine/Metabolic
EDNRB	Confirmed DD Gene	Hair/Nails
EDNRB	Confirmed DD Gene	Ear
EDNRB	Confirmed DD Gene	GI tract
CCDC39	Confirmed DD Gene	GI tract
CCDC39	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
