gene	type	organ
WISP3	Child IF	Skeleton
ANGPTL3	IF Gene: Adult Rx	Endocrine/Metabolic
APOB	Child IF	Endocrine/Metabolic
ATP7B	Child IF	Brain/Cognition
AUH	Confirmed DD Gene	Endocrine/Metabolic
BCS1L	Confirmed DD Gene	Skeleton
BTD	Confirmed DD Gene	Endocrine/Metabolic
CP	IF Gene: Adult No Rx	Endocrine/Metabolic
DDC	Confirmed DD Gene	Brain/Cognition
ETFA	Confirmed DD Gene	Endocrine/Metabolic
ETFB	Confirmed DD Gene	Endocrine/Metabolic
ETFDH	Confirmed DD Gene	Endocrine/Metabolic
FAH	Confirmed DD Gene	Endocrine/Metabolic
FMO3	Child IF	Endocrine/Metabolic
HFE	IF Gene: Adult Rx	Endocrine/Metabolic
HGD	IF Gene: Adult Rx	Endocrine/Metabolic
HGD	IF Gene: Adult Rx	Skeleton
LCAT	Possible DD Gene	Endocrine/Metabolic
LMBRD1	Confirmed DD Gene	Endocrine/Metabolic
MAT1A	Probable DD gene	Brain/Cognition
MCEE	Confirmed DD Gene	Endocrine/Metabolic
MMAA	Confirmed DD Gene	Multisystem
MMAB	Confirmed DD Gene	Brain/Cognition
MUT	Confirmed DD Gene	Endocrine/Metabolic
OXCT1	Confirmed DD Gene	Endocrine/Metabolic
PSAP	Confirmed DD Gene	Endocrine/Metabolic
RYR1	Child IF	Musculature
VDR	Confirmed DD Gene	Endocrine/Metabolic
ADAM9		Eye
ADCK3	Confirmed DD Gene	Brain/Cognition
AIP		Endocrine/Metabolic
WNT4	Probable DD gene	Genitalia
WNT10A		Multisystem
UGT1A1	Confirmed DD Gene	GI tract
TTC21B		Kidney Renal Tract
FHL1	Confirmed DD Gene	Musculature
DFNB31		Ear
BBS12	Confirmed DD Gene	Brain/Cognition
EXT1	Confirmed DD Gene	Skeleton
FRAS1	Confirmed DD Gene	Eye
FREM2	Confirmed DD Gene	Eye
SLC35C1	Confirmed DD Gene	Brain/Cognition
MAP2K1	Confirmed DD Gene	Brain/Cognition
CEP41	Confirmed DD Gene	Brain/Cognition
CCDC39	Confirmed DD Gene	Lungs
DDOST	Confirmed DD Gene	Brain/Cognition
LHX3	Confirmed DD Gene	Ear
LHFPL5	Probable DD gene	Ear
KCNQ4	IF Gene: Adult Rx	Ear
KCNQ1	Both DD and IF	Ear
KCNE1	Both DD and IF	Ear
KCNE1	Both DD and IF	Heart/Cardiovasculature
ITM2B	IF Gene: Adult No Rx	Brain/Cognition
HGF	Confirmed DD Gene	Ear
GRHL2	Child IF	Ear
GPSM2	Confirmed DD Gene	Ear
GPR98	Child IF	Eye
AP4B1	Probable DD gene	Brain/Cognition
ALMS1	Confirmed DD Gene	Endocrine/Metabolic
ATP6V1B1	Confirmed DD Gene	Ear
ATP6V1B1	Confirmed DD Gene	Kidney Renal Tract
BSND	Confirmed DD Gene	Ear
BSND	Confirmed DD Gene	Kidney Renal Tract
CCDC50	Child IF	Ear
CD151	Probable DD gene	Ear
